MgO,Pd,Pd/Pt,MSS Cu,Fluid Cu
0.164788891,0.001534809,0.368426434,0.999316838,0.000702863
0.164790381,0.002054849,0.060098321,0.997349134,0.002663707
0.164796051,0.018957858,0.045416699,0.884705787,0.113236566
0.16479841,0.001018511,0.020936328,0.992817147,0.007146548
0.164807645,0.002593447,0.671716418,0.999644172,0.000359311
0.164816216,0.003242113,0.034890517,0.994180277,0.00550664
0.164831482,84.21250378,43.9138782,0,9.85E-01
0.164841856,69.04680282,24.85311808,0,0.989344529
0.164856648,1.270245332,1.859132329,0.994043702,0.005267997
0.164892088,0.00465972,0.354800842,0.995624752,0.004323501
0.164897909,0.001311866,0.175622902,0.999538933,0.000478046
0.164897929,0.054765627,0.085051516,0.990687181,0.006568202
0.16490096,0.001297405,0.260952275,0.996566852,0.003417319
0.164902083,64.40933879,19.41074748,0,0.948352321
0.164914645,0.001415393,0.020482665,0.997372445,0.002636563
0.16492596,1.012433369,2.213357591,0.989390841,0.010122682
0.164929177,0.02803641,0.15858111,0.998125453,0.001769556
0.164941493,0.053731019,0.526284965,0.991691913,0.007986767
0.164944962,0.011547974,0.214066668,0.999254209,4.50E-04
0.164959486,0.132462057,0.277067191,0.976706542,0.023014953
0.164960057,0.001608391,0.392316795,0.998782591,0.001219133
0.164967757,0.028338544,0.046574566,0.991355417,0.006478922
0.164973812,0.485545438,0.894311264,0.984179879,0.015378764
0.164983883,0.020571236,0.033298449,0.942823811,0.055866142
0.164989653,0.004192236,0.250612495,0.999857601,7.02E-05
0.164989754,0.043138066,0.169532094,0.924689078,0.07405018
0.164997714,0.93737095,2.787914744,0.977596987,0.022220212
0.165004368,0.022512857,0.092855566,0.950795305,0.047823781
0.165013911,0.047030617,0.156131128,0.93274569,6.62E-02
0.165042811,0.001371155,0.123568129,0.999307398,0.00066584
0.165048311,25.90723784,23.74820608,0,0.964221868
0.16506229,0.335532358,0.534679737,0.997572255,1.92E-03
0.165067415,79.69489869,7.87173796,0,0.963376639
0.165117321,1.214044997,4.181328397,0.968885179,3.07E-02
0.165137189,0.008859666,0.025363562,0.994387436,0.005457
0.165142913,0.001659349,0.012179872,0.999343913,0.000655262
0.165143533,0.00043118,0.061205382,0.999281184,0.000725796
0.165148873,0.001843606,0.269512274,0.996811111,0.003192517
0.165151427,0.009918578,0.012266321,0.96210646,0.03641964
0.16516498,0.998377685,1.353221386,0.985600572,0.014034271
0.165186072,0.019483764,0.092508785,0.925365653,0.072399054
0.165208173,1.288796584,1.653095251,0.998608602,0.000872981
0.165216899,0.001073404,0.037527649,0.999477559,0.000528153
0.165227841,86.58381387,21.8214401,0,0.939159936
0.165231123,0.000480874,0.017505545,0.99960757,0.00035207
0.165232725,1.89251799,1.691597392,0.996093729,0.003288498
0.165237087,0.026156432,0.450554411,0.995821157,0.003891972
0.165248442,0.000539889,0.110040694,0.998600045,0.001414311
0.165260299,0.00246478,0.256637626,0.998511329,0.001313959
0.16526457,0.003224178,0.060671924,0.997601415,0.002385814
0.165274707,0.847022996,0.847109101,0.988813574,0.010349791
0.165277817,32.68798059,4.890745726,0,6.81E-01
0.165278899,0.010075871,0.237841643,0.997325734,0.002464871
0.165294452,0.002083077,0.100431836,0.999649431,0.000340855
0.165297231,0.005236114,0.313668576,0.999545975,0.000431377
0.16529836,0.003875964,0.040347628,0.990062725,0.009618275
0.165307116,0.197784392,0.701866047,0.907365428,0.091506612
0.165308753,0.642297167,1.538376833,0.995977203,0.002834102
0.165320072,0.516376293,0.504302375,0.987947562,0.011416707
0.165326769,0.001103654,0.035346819,0.994217859,0.005735891
0.165328393,0.002954452,0.159065884,0.995198592,0.004741044
0.165350452,53.91995456,19.79681144,0,0.960361458
0.165354633,0.060935081,0.045045435,0.912700542,0.084798931
0.165356102,0.000610188,0.008099584,0.999439228,0.000566523
0.165361911,59.2094177,46.40119691,0,9.50E-01
0.165364293,0.008263496,0.5867426,0.998184922,0.001804685
0.165381084,0.00114245,0.067241293,0.99667556,0.003304723
0.165398898,48.45987597,19.42906819,0,0.856064092
0.165404565,0.001332046,0.418132182,0.997363567,0.002657088
0.165417145,0.001442591,0.031444712,0.99941679,0.000577646
0.165427613,1.67496542,2.955252281,0.985316166,0.014300217
0.165436963,20.07424666,71.94635601,0,0.852341299
0.165441581,0.720084012,1.36176582,0.986835734,0.012904664
0.165443209,1.96825903,1.474856426,0.992082713,0.007350696
0.165453915,1.175002405,1.284445208,0.935146007,0.062155243
0.165457587,0.002298718,0.040722821,0.997664881,0.002298102
0.165467973,74.5393236,21.92262239,0,0.9946866
0.165482329,0.500336646,0.782437903,0.991208405,0.008369315
0.165497123,0.703360038,0.926241866,0.906492169,0.090051849
0.165506715,71.49148475,12.455442,0,0.956064247
0.165508345,0.000631278,0.067444909,0.998904417,0.001043391
0.16550879,0.449337496,0.880591616,0.884412124,0.113891165
0.165509864,30.62169237,5.235490945,0,0.976444686
0.165526618,0.002934723,0.112945253,0.990152935,0.009738206
