Unit,Type,temperature,pressure
Niutoushan,col,748,217.0627544
Niutoushan,col,754,195.0522048
Niutoushan,col,754,191.6282538
Niutoushan,col,715,127.5354134
Niutoushan,col,742,154.1393942
Niutoushan,col,767,222.2150464
Niutoushan,col,764,220.1805508
Niutoushan,col,763,229.323907
Niutoushan,col,757,206.7709303
Niutoushan,col,756,221.0810568
Niutoushan,col,714,132.5351547
Niutoushan,col,704,119.65369
Niutoushan,col,751,190.332059
Fuzishan,col,724,152.1882322
Fuzishan,col,726,128.9000072
Fuzishan,col,728,137.1954674
Fuzishan,col,720,129.0723558
Fuzishan,col,723,134.6129454
Fuzishan,col,784,208.8039809
Fuzishan,col,777,193.9950245
Fuzishan,col,723,126.4868644
Fuzishan,col,727,116.2309515
Fuzishan,col,793,208.1094829
Fuzishan,col,787,209.7851484
Fuzishan,col,775,204.2683337
Fuzishan,col,781,202.0805489
Fuzishan,col,777,206.036466
Fuzishan,col,736,126.8218061
Ouyangshan,col,746,200.8060763
Ouyangshan,col,748,188.165932
Ouyangshan,col,743,174.6207866
Ouyangshan,col,749,190.6406052
Ouyangshan,col,736,187.0103008
Ouyangshan,col,750,213.9586962
Ouyangshan,col,744,185.0350353
Ouyangshan,col,763,219.9346032
Ouyangshan,col,752,209.7480386
Ouyangshan,col,732,163.486541
Ouyangshan,col,741,202.7423945
Ouyangshan,col,756,223.4633859
Ouyangshan,col,759,192.3922789
Ouyangshan,col,737,180.6005012
Ouyangshan,col,762,211.5794947
Ouyangshan,col,734,166.3903701
Jiama,col,766,199.2789921
Jiama,col,770,188.1287282
Jiama,col,763,181.1875481
Jiama,col,760,190.6985503
Jiama,col,749,178.4094727
Jiama,col,758,177.5711645
Jiama,col,752,182.0841399
Jiama,col,765,207.1400616
Jiama,col,785,223.9215326
Jiama,col,761,176.957394
Jiama,col,748,185.3175945
Jiama,col,760,200.7046439
Jiama,col,766,203.0683818
Jiama,col,758,175.0242389
Jiama,col,776,192.6665383
Jiama,col,767,211.3175218
Qulong,col,776,205.3281926
Qulong,col,770,166.8064662
Qulong,col,766,168.3236196
Qulong,col,764,162.7386864
Qulong,col,783,198.0354805
Qulong,col,787,218.5064113
Qulong,col,785,189.5849562
Qulong,col,770,186.2442743
Qulong,col,776,172.656025
Qulong,col,777,167.0336829
Qulong,col,768,151.8428029
Qulong,col,777,166.812927
Qulong,col,755,167.8120369
Qulong,col,747,155.614385
Qulong,col,756,165.9800437
Qulong,col,763,192.679717
Qulong,col,755,171.6552832
Qulong,col,754,179.8031473
Qulong,col,772,182.235604
Qulong,col,744,174.2527171
Qulong,col,758,168.1183723
Qulong,col,762,185.8648648
Qulong,col,751,169.1673705
Qulong,col,756,173.1789025
Qulong,col,754,154.835424
Qulong,col,751,155.4129602
Qulong,col,751,158.4585683
Qulong,col,750,153.5305848
Yulong,col,764,241.822992
Yulong,col,769,216.1332315
Yulong,col,774,217.7230555
Yulong,col,761,233.066264
Yulong,col,771,238.5451998
Yulong,col,773,264.5724904
Yulong,col,766,225.0227999
Yulong,col,786,283.5132561
Yulong,col,778,260.3305245
Yulong,col,779,257.6946445
Yulong,col,757,185.7244247
Yulong,col,785,214.6780292
Yulong,col,774,270.7512537
Yulong,col,761,237.2730443
Yulong,col,774,204.7722438
Yulong,col,795,324.1979088
Yulong,col,772,260.7856127
Yulong,col,773,267.0582113
Yulong,col,802,303.9608198
Yulong,col,751,208.0302103
Yulong,col,777,272.4164984
Yulong,col,779,225.706138
Yulong,col,773,232.061649
Yulong,col,798,318.2656668
Yulong,col,761,241.3827707
Machangqing,col,726,180.7398322
Machangqing,col,714,173.212022
Machangqing,col,728,187.1004365
Machangqing,col,735,166.091732
Machangqing,col,719,166.6081629
Machangqing,col,701,152.1716013
Machangqing,col,699,153.1413363
Machangqing,col,727,161.609742
Machangqing,col,724,164.5980236
Machangqing,col,701,136.0888036
Machangqing,col,731,172.0642135
Machangqing,col,662,77.78663843
Machangqing,col,796,245.2066262
Machangqing,col,791,253.4683201
Machangqing,col,695,104.1191509
Machangqing,col,738,119.3602582
Machangqing,col,734,121.4184082
Machangqing,col,740,121.9817713
Machangqing,col,736,124.4907901
Machangqing,col,745,117.8698486
Machangqing,col,770,186.0717924
Machangqing,col,753,111.3189724
Machangqing,col,759,149.2443592
Machangqing,col,747,127.9092453
Machangqing,col,780,173.1581871
Machangqing,col,748,146.0936087
Machangqing,col,742,122.021056
Machangqing,col,737,103.9528302
Machangqing,col,746,131.333331
Machangqing,col,686,88.48033987
Machangqing,col,689,97.70334444
Beiya,col,679,73.06081848
Beiya,col,703,94.45424134
Beiya,col,698,102.858418
Beiya,col,709,87.04915033
Beiya,col,715,103.9330639
Beiya,col,715,103.9222741
